word_count,char_count,tech_skill_count,soft_skill_count,years_experience,education_level,unique_tech_skills,domain_finance,domain_tech,domain_healthcare,domain_legal,domain_education,domain_engineering,domain_sales,domain_creative,domain_hr,domain_hospitality,domain_aviation,domain_agriculture,domain_automobile,domain_apparel,domain_fitness,domain_bpo,domain_consultant,domain_banking,domain_public_relations,domain_digital_media
662,5614,2,6,5,3,2,4,2,2,2,11,3,3,3,4,1,1,0,1,0,1,3,3,1,3,2
568,4716,4,2,0,3,4,8,4,1,2,3,4,3,3,5,1,2,0,0,1,1,3,5,8,1,1
196,1469,1,0,0,2,1,0,0,1,0,7,2,2,2,2,0,0,0,1,0,0,0,0,1,1,0
492,3976,2,6,0,1,2,5,0,3,9,2,2,4,3,3,1,2,0,2,0,0,3,2,7,5,3
635,5180,2,7,0,0,2,6,2,1,2,3,4,7,7,6,2,2,0,1,1,3,2,2,3,2,1
499,4101,2,8,0,2,2,1,2,2,1,3,11,1,5,3,0,3,0,4,0,2,3,2,0,3,0
777,6661,1,4,15,3,1,3,2,2,8,4,2,2,4,12,1,1,0,0,0,2,2,3,1,3,0
595,4433,3,2,7,3,3,1,2,0,1,3,4,1,4,3,0,0,0,1,0,0,2,0,1,3,1
472,3853,2,4,0,1,2,0,2,2,0,11,0,1,2,1,0,2,0,1,0,1,1,0,1,2,0
858,7319,2,3,0,0,2,3,1,3,3,4,10,0,4,4,1,4,2,3,0,1,1,0,2,1,1
1489,11837,3,4,2,3,3,5,2,6,1,11,3,5,5,6,1,2,3,3,2,1,2,5,3,2,4
625,5599,4,4,0,1,4,5,1,3,4,6,3,4,5,13,1,1,0,1,1,3,5,6,1,2,0
626,5059,2,4,30,3,2,2,2,2,2,4,3,5,11,3,1,0,0,1,2,1,3,2,0,7,3
1000,8133,2,5,5,3,2,1,2,1,2,3,6,2,3,3,0,2,0,2,2,2,3,5,2,3,0
623,4714,1,0,0,1,1,8,1,1,2,3,0,1,2,1,1,1,0,2,1,0,2,1,7,1,0
745,6271,3,7,0,2,3,4,3,4,0,2,2,4,12,4,1,0,0,1,2,0,1,4,1,7,6
578,4559,4,7,8,2,4,8,0,0,2,2,2,6,3,1,1,2,0,0,0,0,4,2,1,2,1
643,5235,1,6,15,3,1,3,2,0,2,3,2,7,4,5,2,0,0,3,3,2,3,2,9,3,1
474,3950,2,6,30,0,2,3,0,0,1,3,2,3,2,7,2,0,0,1,1,1,4,1,3,4,0
515,4370,1,3,7,3,1,6,1,0,2,3,1,7,2,4,1,0,0,0,3,2,2,1,4,2,0
720,6138,2,4,0,4,2,1,0,12,2,12,4,2,3,5,1,2,0,1,1,7,2,5,0,4,1
857,6892,2,6,40,3,2,7,1,0,1,4,4,4,2,4,0,0,0,2,0,2,3,1,2,2,1
1124,9861,3,9,10,3,3,4,2,2,5,5,3,6,4,16,1,1,0,2,2,2,5,1,4,4,3
497,4186,2,4,0,3,2,5,1,3,4,3,3,3,5,10,0,1,0,1,1,1,3,1,3,4,0
674,5235,3,3,0,1,3,3,0,1,2,3,1,3,2,4,1,2,0,1,2,1,5,1,10,2,0
645,4962,7,7,14,3,7,0,11,1,1,3,4,1,5,6,1,0,1,2,1,1,4,8,2,3,0
248,1966,1,4,0,3,1,0,1,1,2,10,0,2,3,1,1,0,0,0,0,5,2,1,1,2,1
759,6077,3,7,20,3,3,0,3,1,1,5,3,4,15,3,1,4,0,1,1,2,2,4,0,4,8
1138,9063,2,6,30,3,2,0,3,3,0,6,1,2,2,4,1,3,1,4,0,1,2,2,1,3,1
552,4374,2,3,0,3,2,1,2,3,0,4,4,1,5,2,1,3,3,3,2,2,1,0,1,2,1
505,4142,1,5,0,1,1,2,2,2,3,3,0,7,3,8,4,0,0,1,1,2,5,2,2,3,0
500,4095,1,3,0,2,1,5,3,1,3,3,1,8,4,3,1,2,0,0,0,1,1,0,8,1,0
708,5720,6,3,0,2,6,1,7,1,1,2,4,1,5,3,1,1,0,2,1,3,4,4,4,1,1
567,4230,3,5,0,2,3,1,0,3,6,6,2,5,2,1,3,0,0,5,1,1,3,0,1,2,1
569,4817,2,6,0,3,2,1,3,5,3,3,4,2,3,6,1,2,0,2,0,1,4,4,2,4,0
737,6112,5,4,7,3,5,1,4,1,2,3,4,3,3,5,1,0,0,2,0,2,6,6,1,4,0
584,4695,2,4,3,3,2,2,1,6,2,6,3,8,5,5,2,0,1,2,2,1,1,2,0,3,1
369,2971,2,4,0,1,2,0,2,0,1,2,4,2,3,2,2,2,0,3,0,0,2,1,2,2,0
634,5327,1,6,0,0,1,5,0,6,4,4,4,13,4,8,1,1,1,4,1,1,4,3,3,4,2
1158,9711,3,6,40,3,3,2,3,14,9,9,1,3,3,8,2,1,0,2,1,2,3,1,2,3,1
684,5820,3,2,0,2,3,0,3,2,2,3,2,3,3,4,0,3,0,4,0,0,3,1,3,3,1
531,4437,1,2,7,1,1,0,0,1,2,3,8,2,3,0,0,4,1,1,0,0,0,0,1,3,0
261,2081,1,1,0,2,1,2,0,3,0,3,1,3,3,2,2,1,0,0,0,1,1,2,1,4,1
214,1732,1,6,0,1,1,0,0,3,0,3,0,2,2,3,1,0,0,2,2,1,1,0,1,1,0
621,5121,3,2,5,2,3,9,2,2,1,3,3,4,2,6,0,1,1,0,0,1,2,1,3,1,0
828,6832,3,4,0,4,3,0,1,6,3,16,4,2,4,7,1,0,0,1,0,2,2,2,1,4,1
303,2604,2,6,9,1,2,0,0,1,0,3,8,3,3,4,3,1,0,3,1,3,2,1,1,2,0
1063,8988,5,6,0,3,5,4,7,3,3,4,4,3,5,6,1,1,0,4,0,1,3,6,4,3,4
567,4344,2,4,8,2,2,5,1,2,1,4,3,8,3,6,1,0,0,2,1,1,1,3,1,2,1
568,4795,3,6,0,2,3,1,3,1,4,1,2,5,10,5,0,1,1,0,1,0,1,1,3,4,1
458,4014,2,3,0,3,2,1,1,10,2,2,2,2,1,3,1,3,1,4,1,0,3,0,4,1,0
818,6362,2,6,2,3,2,1,1,4,7,5,2,3,3,3,4,2,0,2,2,1,3,0,3,6,1
594,4935,1,6,0,3,1,4,1,0,7,3,6,4,2,5,2,1,2,3,1,1,1,5,6,2,1
951,7618,3,7,0,3,3,6,2,1,4,3,3,9,3,7,1,0,0,0,2,3,3,4,11,2,1
537,4368,2,3,0,3,2,1,2,2,2,3,2,5,13,6,2,1,1,1,2,2,2,1,3,5,1
950,7973,1,6,3,3,1,2,3,4,7,2,7,8,3,5,1,4,1,2,1,2,2,1,4,4,1
1108,9217,5,3,0,3,5,1,7,0,1,5,6,6,6,5,1,1,0,2,1,1,4,8,2,3,1
1044,8942,2,7,10,0,2,4,1,0,2,3,2,5,9,1,2,0,0,0,4,2,3,2,0,4,5
917,8025,2,8,0,2,2,1,2,2,4,5,4,2,8,4,1,0,0,0,2,2,3,5,0,8,3
516,4260,4,5,0,4,4,3,7,6,2,3,4,1,5,3,1,0,1,1,0,2,4,3,1,2,0
291,2212,3,2,9,3,3,2,0,2,3,2,1,4,1,1,1,0,0,1,1,0,2,0,7,1,0
409,3293,1,4,0,2,1,2,1,1,1,1,2,4,6,2,0,0,0,0,8,1,1,0,1,4,0
616,4954,2,3,0,1,2,2,2,2,2,5,0,5,4,1,2,3,0,2,4,2,5,0,4,4,0
602,4958,2,5,0,1,2,1,1,3,0,2,0,1,2,3,2,1,0,2,1,0,2,0,2,3,0
291,2225,2,1,0,2,2,1,1,2,0,6,1,4,3,1,7,0,0,0,1,0,0,0,1,1,0
481,4131,2,5,0,1,2,8,1,1,12,2,1,9,4,3,1,1,0,1,3,1,4,3,6,3,1
466,3981,1,5,0,1,1,1,0,3,3,2,1,1,2,4,2,1,2,0,0,0,0,1,1,4,2
522,4350,2,2,0,2,2,0,0,11,2,8,2,2,3,3,1,1,0,3,0,4,1,1,0,3,0
660,5213,3,4,0,3,3,3,4,1,1,2,2,10,6,3,1,0,0,1,0,0,2,5,1,2,2
519,4200,2,5,0,2,2,0,1,2,1,4,6,4,3,2,0,8,0,4,0,1,2,3,2,2,0
469,3674,2,5,0,3,2,2,0,1,1,12,1,2,4,6,1,0,0,2,0,1,2,2,1,2,1
473,3749,2,6,0,2,2,9,0,1,0,3,1,2,2,2,2,0,0,0,0,1,2,0,3,1,0
515,4168,2,4,0,2,2,1,1,7,4,2,3,2,3,3,0,1,0,2,1,2,3,0,3,3,1
476,3935,2,3,0,3,2,3,1,3,1,10,2,2,6,10,0,0,0,1,0,1,2,4,3,3,3
555,4280,7,1,6,3,7,0,13,0,1,4,5,2,5,3,0,1,0,1,1,2,2,5,0,2,0
541,4670,2,7,0,2,2,5,1,0,3,5,4,3,2,6,1,1,0,2,0,1,3,5,3,3,0
532,4565,1,6,0,3,1,7,1,0,2,4,0,9,2,4,4,0,0,0,1,2,4,3,4,4,1
506,4076,2,3,40,2,2,0,0,2,2,10,1,0,3,2,0,0,0,1,0,0,0,1,0,2,1
831,6539,2,7,0,3,2,4,0,3,5,6,5,4,2,14,2,0,0,2,1,1,2,3,4,4,1
486,4053,2,3,10,2,2,0,0,9,2,4,1,2,2,2,7,1,0,2,0,0,3,1,1,4,0
541,4625,2,8,0,2,2,8,1,3,2,4,2,5,4,5,0,0,0,1,0,0,1,3,3,2,1
287,2365,2,2,0,0,2,2,0,0,1,4,1,5,7,3,1,1,0,0,4,1,2,2,1,5,7
658,5400,3,4,0,2,3,6,2,1,2,4,1,9,8,5,2,0,0,1,3,3,3,4,1,3,4
294,2345,2,5,0,2,2,0,1,0,1,1,1,4,7,3,0,1,1,0,4,0,1,1,1,4,8
797,6786,2,5,0,3,2,5,1,6,7,3,1,2,4,5,1,2,0,2,2,1,4,0,3,4,3
440,3794,4,6,0,2,4,1,1,4,5,4,0,1,3,7,1,0,0,1,1,2,2,0,2,2,0
325,2602,1,2,0,3,1,1,0,2,0,5,1,2,3,2,1,3,1,1,0,3,1,0,0,1,0
968,8331,4,7,7,3,4,7,4,8,3,4,4,3,5,5,0,1,1,2,4,1,3,4,3,8,2
578,4741,1,3,0,1,1,2,1,5,3,3,8,3,3,2,4,3,1,4,1,3,3,0,2,4,0
940,7868,1,4,0,1,1,13,3,1,3,4,2,5,3,6,0,2,1,1,1,2,1,2,9,2,1
694,5704,5,4,9,3,5,2,5,4,1,3,4,6,4,4,1,2,0,2,0,2,3,6,1,3,0
823,6999,1,4,0,2,1,0,0,3,1,12,2,1,6,5,1,0,0,1,0,2,1,2,1,2,2
679,5924,2,7,0,2,2,3,3,1,4,3,7,6,3,8,1,3,0,3,0,1,3,6,2,3,0
662,5308,6,3,0,3,6,4,5,0,2,3,5,8,4,4,1,0,0,4,2,2,3,8,2,2,1
1287,10186,3,3,3,3,3,2,7,5,4,5,4,4,5,7,1,3,1,3,1,1,3,7,2,2,3
666,5368,2,3,40,1,2,3,2,1,2,2,2,8,14,4,2,2,0,0,2,0,2,4,3,5,2
671,5289,2,4,3,1,2,13,0,3,4,4,1,5,2,3,1,0,0,1,2,2,2,1,5,1,0
502,4119,2,3,0,3,2,5,3,1,1,4,1,4,3,0,1,1,1,0,0,0,0,4,6,4,0
890,6985,2,8,20,2,2,2,2,0,3,4,11,1,5,2,1,2,3,3,0,0,1,2,2,3,1
287,2220,4,2,0,2,4,1,1,0,1,3,0,5,8,2,1,0,1,1,2,0,0,2,1,3,6
749,6193,3,4,0,2,3,3,2,2,5,4,2,5,7,3,1,1,0,3,4,1,3,1,4,5,2
1054,8466,8,5,2,2,8,2,8,2,1,4,5,5,6,4,1,1,0,5,0,1,5,4,2,2,0
473,4037,2,5,0,1,2,0,0,0,1,3,0,5,4,4,5,1,0,1,1,9,2,1,1,2,1
495,4025,5,4,6,3,5,6,2,5,2,3,1,11,2,5,1,0,0,1,0,1,2,3,5,2,0
983,7841,1,5,30,2,1,1,1,1,0,9,6,6,4,3,1,3,0,2,0,2,3,2,1,1,2
562,4290,3,3,0,2,3,1,1,2,2,5,1,4,8,2,6,1,0,2,2,2,4,0,0,2,1
190,1597,3,7,0,2,3,3,2,1,4,2,0,2,3,0,0,1,0,1,0,0,1,0,4,2,1
633,5219,1,6,5,1,1,6,0,4,2,5,1,6,3,4,15,1,0,0,1,2,3,2,1,3,0
988,7260,3,5,0,2,3,1,1,0,0,4,4,4,8,3,0,1,0,4,7,2,2,3,2,2,1
192,1426,2,0,0,1,2,0,1,4,0,5,0,1,1,1,1,1,0,1,2,0,1,0,0,1,0
498,3917,1,4,0,1,1,2,0,2,0,1,0,3,3,3,15,1,1,1,3,1,1,0,1,2,0
851,7431,2,5,0,3,2,1,4,1,2,3,4,7,4,7,1,2,0,5,0,1,3,10,1,3,0
683,5430,3,6,6,3,3,2,3,2,3,6,3,2,4,6,1,0,1,3,0,1,2,8,4,2,1
479,3853,2,2,40,3,2,2,2,2,3,2,1,2,2,11,0,2,1,1,0,1,1,1,0,3,2
625,5235,1,4,20,2,1,1,0,2,0,4,5,1,2,4,1,7,0,1,1,1,3,1,1,3,0
860,7092,1,12,0,3,1,4,4,12,4,4,2,13,5,4,1,0,0,2,0,3,3,2,2,2,1
285,2124,1,0,25,1,1,2,0,2,2,4,0,2,1,4,10,1,2,0,0,1,1,1,1,1,0
116,821,1,0,0,1,1,0,0,2,0,4,1,1,1,1,1,0,1,0,0,1,1,0,0,2,0
747,6286,2,5,0,3,2,7,3,5,8,5,2,2,4,13,2,3,0,1,0,2,3,2,7,3,2
495,4231,1,4,25,3,1,5,1,2,4,1,1,4,2,5,1,0,0,1,1,0,3,0,8,2,0
509,3986,3,4,0,1,3,0,0,5,2,2,6,3,2,3,2,3,0,3,0,1,1,0,1,3,1
609,5196,3,2,0,1,3,0,0,1,1,5,9,0,3,2,1,7,0,6,0,1,3,1,1,3,1
2950,24354,2,7,21,2,2,4,2,4,7,9,14,6,3,7,2,5,2,5,2,3,4,0,2,3,1
895,7379,2,6,0,3,2,3,1,2,3,7,5,7,6,6,8,1,0,2,1,1,3,1,2,4,0
565,4551,3,4,0,2,3,7,1,1,4,4,1,3,3,5,1,0,0,1,1,1,2,2,3,3,0
532,4508,2,9,8,1,2,6,2,3,3,4,2,2,2,6,3,4,0,2,0,1,3,2,2,3,0
166,1397,2,1,0,1,2,1,0,3,1,2,2,3,2,2,1,0,0,3,1,2,3,0,1,1,0
499,3888,2,4,3,0,2,0,0,8,4,4,2,1,1,3,0,0,0,2,1,2,2,0,2,2,0
342,2838,1,3,0,2,1,3,2,1,2,5,1,4,2,5,1,1,1,1,1,5,2,1,3,2,0
368,2677,1,1,0,2,1,0,0,0,0,2,3,3,6,0,0,0,0,1,2,0,0,0,0,2,1
498,3926,2,4,10,3,2,6,1,1,2,4,1,6,5,4,1,1,0,1,2,1,1,1,7,2,0
463,3810,1,3,0,2,1,0,2,1,1,7,2,5,3,1,0,0,0,0,0,0,2,2,0,5,2
619,5190,2,3,0,3,2,5,1,2,4,3,1,1,3,11,1,1,1,1,0,2,7,1,3,4,0
312,2539,1,3,7,2,1,3,1,0,2,2,0,4,2,2,1,0,0,0,0,0,4,3,6,1,0
552,4413,2,3,0,2,2,0,1,0,2,3,2,5,3,8,2,1,0,0,2,1,3,1,3,3,1
810,6917,1,5,5,2,1,12,2,9,5,8,6,3,3,5,1,0,0,1,1,2,1,2,8,3,1
385,2916,3,1,0,2,3,2,4,0,3,3,2,6,5,2,0,0,0,4,1,0,0,0,2,1,2
650,5336,3,6,0,3,3,4,1,2,6,3,1,2,2,13,1,2,0,1,0,2,4,2,3,5,1
494,4081,2,6,0,3,2,3,1,2,4,6,1,4,2,9,2,3,0,0,0,1,3,0,3,3,0
519,4334,2,4,0,2,2,2,2,6,2,6,2,2,3,3,1,2,0,1,1,1,2,0,1,2,1
317,2565,2,6,4,3,2,2,1,7,4,2,1,8,2,2,1,0,0,2,0,1,2,2,2,2,1
566,4226,2,5,0,2,2,1,0,0,0,3,2,2,3,3,11,0,0,1,0,2,4,0,1,3,0
566,4754,5,2,0,2,5,0,2,2,0,6,7,0,6,1,0,10,0,3,0,0,2,0,1,2,2
920,7336,4,6,40,3,4,9,5,3,5,2,5,8,3,4,2,0,0,3,0,0,3,5,3,2,2
557,4429,1,2,0,1,1,2,0,2,3,2,1,4,4,3,11,1,0,1,2,2,2,1,0,2,0
289,2374,2,1,0,1,2,0,0,6,0,3,0,1,1,1,1,0,0,1,0,4,1,0,2,2,0
1366,10831,2,5,15,2,2,12,2,5,3,2,1,4,2,5,1,0,0,1,0,0,3,0,6,1,0
606,5165,2,4,0,2,2,4,1,9,4,2,2,2,2,1,1,1,0,2,1,0,1,0,5,1,1
505,3846,1,3,0,1,1,0,0,3,3,7,1,2,3,3,1,1,0,2,3,0,3,0,3,3,0
550,4318,7,1,0,0,7,2,8,0,1,2,8,2,3,2,0,1,1,2,1,1,3,1,0,3,2
646,5383,3,6,10,3,3,6,1,3,4,4,1,1,3,10,1,3,0,2,1,1,3,5,3,5,2
554,4487,3,4,0,4,3,0,3,4,2,5,4,3,4,4,1,0,0,0,0,1,2,2,0,2,0
334,2641,2,4,10,2,2,8,1,0,1,2,2,2,2,1,1,0,0,1,0,0,1,1,2,2,0
608,5121,2,2,0,2,2,2,1,8,1,3,1,6,3,2,1,0,0,3,5,3,2,1,2,2,0
1091,8940,2,9,40,3,2,5,0,1,3,3,9,7,7,5,6,1,0,3,4,2,3,3,1,4,4
586,4822,2,4,0,1,2,13,1,6,6,3,2,2,2,8,1,0,0,3,1,1,2,0,5,2,1
592,4784,2,1,0,3,2,1,1,9,4,4,0,1,4,3,5,2,0,2,1,1,2,1,0,2,0
635,5533,5,6,0,2,5,5,2,0,1,2,5,8,10,3,1,0,0,0,2,0,3,4,2,5,4
631,5330,2,6,0,2,2,6,3,1,3,3,2,13,6,8,1,1,0,2,2,3,3,5,4,4,3
583,4682,2,4,0,3,2,2,0,1,2,3,0,5,3,2,5,2,0,1,3,0,4,0,3,3,0
309,2591,3,2,16,2,3,0,3,0,4,3,2,1,4,3,0,1,0,2,1,1,1,0,1,1,0
714,5861,3,5,5,1,3,2,1,5,5,4,1,4,5,5,1,1,0,1,1,1,5,0,5,3,0
632,5453,1,3,0,2,1,1,1,1,3,3,11,2,3,1,0,4,1,2,0,0,2,1,0,1,0
435,3767,2,6,0,0,2,2,1,3,2,2,4,6,3,1,2,0,1,2,1,0,2,2,2,1,0
537,4137,2,6,0,3,2,4,1,4,2,4,3,4,3,5,1,0,0,2,1,1,2,0,6,1,1
782,6246,1,6,0,1,1,2,0,2,0,3,1,4,3,6,16,2,0,0,1,2,4,1,1,4,0
480,3928,3,2,0,2,3,0,5,7,2,4,4,3,3,4,0,2,0,2,0,1,2,0,2,2,0
887,7216,5,6,0,1,5,1,4,9,1,4,3,4,5,7,1,0,0,2,0,1,3,2,0,4,1
501,4083,1,6,0,4,1,1,0,3,1,8,4,2,6,4,0,0,0,0,0,1,2,2,0,3,3
610,4933,4,4,11,0,4,11,4,1,4,3,1,9,4,6,1,0,0,0,3,3,3,4,7,4,4
521,4283,1,5,0,2,1,4,1,11,1,4,1,11,3,5,1,1,0,1,0,4,2,2,1,2,0
455,3900,2,4,10,3,2,1,2,8,4,2,3,3,8,3,0,0,0,2,0,0,1,4,1,7,3
511,4214,1,5,3,1,1,6,1,2,4,3,1,4,2,10,1,2,1,1,1,1,3,0,4,3,1
674,5480,5,4,0,2,5,2,3,2,3,3,5,5,13,4,0,1,1,3,2,2,2,6,1,5,4
423,3210,1,4,5,2,1,0,0,3,0,10,2,0,2,0,0,1,0,1,0,3,0,0,0,2,1
508,4231,2,5,18,3,2,17,2,0,1,3,1,3,3,3,3,1,0,0,1,1,2,0,3,2,0
699,5416,2,7,9,2,2,13,2,1,0,3,3,5,5,2,1,0,0,3,3,0,1,0,6,2,0
861,7277,3,8,0,3,3,2,1,10,5,7,3,7,3,7,1,3,1,3,1,1,4,6,4,4,2
622,4812,2,3,0,3,2,0,0,4,3,3,3,3,4,2,1,0,0,2,1,1,7,1,0,3,0
647,5107,4,3,0,3,4,0,2,2,2,5,10,3,5,2,0,4,1,3,0,1,2,1,1,2,1
503,4066,2,2,0,1,2,1,0,3,1,3,1,3,4,2,2,1,1,1,3,1,4,0,2,2,0
345,2895,2,2,13,2,2,1,1,3,3,3,3,2,3,3,1,1,1,2,0,1,0,1,1,2,0
473,4105,2,4,0,3,2,3,0,1,4,4,2,3,2,4,1,2,0,0,0,2,3,0,3,2,0
516,4054,3,3,2,3,3,6,0,4,2,4,1,6,4,7,1,1,0,1,0,1,3,3,7,1,1
589,5123,2,5,1,1,2,6,3,7,2,3,2,6,4,6,1,1,0,1,0,0,3,1,2,3,0
499,3817,3,3,40,2,3,0,0,0,2,3,3,4,5,1,0,2,0,1,6,3,1,0,2,3,0
1058,8815,3,5,10,2,3,6,6,6,4,4,4,4,4,5,1,3,0,4,0,1,4,8,4,3,3
633,5070,2,2,0,2,2,1,1,3,1,4,2,5,9,2,4,0,0,1,0,1,0,0,1,5,4
809,6492,8,3,0,3,8,11,6,5,2,4,3,8,8,6,1,0,0,3,1,1,3,3,5,2,3
976,7932,2,5,0,2,2,2,3,10,9,7,3,3,4,6,2,2,0,3,1,3,3,5,2,4,1
704,5708,2,4,10,3,2,5,4,2,1,4,2,8,6,8,1,0,0,0,3,1,3,3,6,3,1
196,1600,2,0,0,0,2,0,0,0,1,0,2,2,6,1,0,1,0,0,2,0,1,1,1,2,0
753,6540,3,10,0,1,3,2,1,0,3,3,2,5,7,2,1,0,1,0,0,0,1,7,5,3,1
1642,13074,3,1,20,3,3,6,2,4,5,2,2,4,4,2,1,1,1,2,1,0,6,1,8,1,0
368,3007,2,2,0,3,2,1,2,3,1,4,7,3,2,3,5,0,0,1,1,2,0,0,1,1,0
654,5325,2,5,0,3,2,4,3,4,2,4,2,7,3,5,1,1,0,1,3,1,3,1,3,3,2
1086,8472,3,6,0,3,3,1,3,1,3,2,3,9,15,5,2,3,0,4,3,0,3,5,3,3,0
491,4090,1,1,0,0,1,2,1,10,2,4,2,5,3,6,1,0,0,3,0,8,1,1,1,2,0
697,5726,2,4,3,3,2,4,2,0,1,6,3,5,8,7,1,1,0,0,1,1,4,3,2,5,2
811,6308,2,5,15,2,2,1,2,3,4,2,4,5,8,4,0,0,0,1,2,1,0,2,1,8,0
247,2014,4,3,0,2,4,3,1,0,2,2,1,1,5,1,1,0,0,0,0,0,2,3,0,2,0
552,4655,3,5,15,3,3,5,1,1,2,4,2,8,6,4,2,0,1,2,1,2,2,6,1,3,1
687,5504,2,4,0,2,2,3,4,0,2,4,3,4,4,2,2,0,0,1,1,1,1,1,1,2,1
412,2891,2,3,26,1,2,1,1,1,2,2,6,2,2,0,0,4,1,3,0,0,0,0,0,2,0
498,3754,2,3,2,1,2,1,0,0,1,4,0,3,2,4,2,0,0,1,1,2,2,1,2,2,0
503,4031,3,1,40,2,3,0,1,2,4,4,1,2,3,5,2,5,0,1,0,1,1,0,1,1,0
497,4140,3,6,0,3,3,1,1,8,7,6,2,4,3,3,1,1,0,1,1,0,3,2,3,3,1
555,4754,2,6,0,3,2,11,2,4,4,4,3,8,3,6,2,0,0,0,2,1,2,2,5,2,0
527,4276,2,3,15,0,2,2,1,4,2,5,1,1,3,10,2,3,0,2,0,1,4,1,2,1,1
665,5201,2,3,14,2,2,3,0,1,4,4,7,2,4,0,1,2,2,2,0,1,0,0,3,2,1
798,6940,1,8,0,3,1,2,1,1,3,3,1,1,3,15,1,1,0,1,0,1,4,2,2,4,1
688,5863,2,7,15,2,2,0,3,1,3,4,11,3,4,5,1,3,0,2,1,2,3,3,1,1,1
537,4305,2,5,20,3,2,4,2,1,2,4,2,10,5,4,2,0,0,2,0,1,3,2,3,2,1
599,4989,4,3,0,2,4,1,2,0,2,3,5,2,4,2,1,3,0,4,0,0,6,1,3,1,1
518,4238,2,2,2,1,2,0,0,1,2,3,2,3,5,3,3,0,0,1,2,0,2,1,2,3,1
317,2551,2,5,10,2,2,0,0,1,0,3,1,1,2,2,1,2,0,2,0,2,3,0,2,3,1
628,5247,1,7,0,2,1,3,3,5,3,4,2,5,4,6,1,1,0,3,2,1,4,1,1,3,2
481,3953,2,3,0,2,2,10,1,0,1,4,1,0,2,5,1,0,0,1,0,1,2,0,9,2,1
